shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
p_914339,39.627254,-106.49633,113,1701.1173547
p_914339,39.627212,-106.49638,114,1707.45559597
p_914339,39.627193,-106.496421,115,1711.55940893
p_914339,39.627185,-106.496464,116,1715.35658154
p_914339,39.62718,-106.496526,117,1720.7085501
p_914339,39.627173,-106.496574,118,1724.90230422
p_914339,39.627166,-106.496625,119,1729.34942269
p_914339,39.627176,-106.49672,120,1737.58100694
p_914339,39.627183,-106.496769,121,1741.85915972
p_914339,39.627222,-106.496886,122,1752.79787945
p_914339,39.62725,-106.49696,123,1759.87105302
p_914339,39.627372,-106.497119,124,1779.10202962
p_914339,39.627488,-106.497278,125,1797.86973403
p_914339,39.627605,-106.497425,126,1815.98136255
p_914339,39.627836,-106.497722,127,1852.14756301
p_914339,39.628084,-106.498046,128,1891.28784336
p_914339,39.62834,-106.4984,129,1932.90018865
p_914339,39.62844,-106.49855,130,1949.90372362
p_914339,39.628553,-106.498758,131,1971.72815825
p_914339,39.62867,-106.49898,132,1994.79370425
p_914339,39.628724,-106.499116,133,2007.91925211
p_914339,39.628806,-106.499303,134,2026.37578865
p_914339,39.628867,-106.499464,135,2041.76839391
p_914339,39.628941,-106.499708,136,2064.27041504
p_914339,39.629015,-106.499965,137,2087.81498996
p_914339,39.6291,-106.50037,138,2123.84387261
p_914339,39.629137,-106.500632,139,2146.70967982
p_914339,39.629147,-106.500732,140,2155.36657567
p_914339,39.62917,-106.501001,141,2178.60205409
p_914339,39.629178,-106.501276,142,2202.22860173
p_914339,39.629182,-106.501449,143,2217.08797796
p_914339,39.62919,-106.501518,144,2223.07812066
p_914339,39.629205,-106.501599,145,2230.2289308
p_914339,39.62921,-106.50168,146,2237.20522279
p_914339,39.62923,-106.501719,147,2241.22293084
p_914339,39.629247,-106.501756,148,2244.91796631
p_914339,39.629257,-106.50179,149,2248.04101929
p_914339,39.629264,-106.501819,150,2250.64926496
p_914339,39.629276,-106.50189,151,2256.88879553
p_914339,39.629266,-106.501947,152,2261.90683498
p_914339,39.629235,-106.502015,153,2268.68395455
p_914339,39.629214,-106.502049,154,2272.41986287
p_914339,39.629189,-106.502076,155,2276.03619112
p_914339,39.629154,-106.502098,156,2280.35686557
p_914339,39.629122,-106.502111,157,2284.08092841
p_914339,39.629086,-106.502118,158,2288.12284728
p_914339,39.629054,-106.502108,159,2291.77798779
p_914339,39.629004,-106.502077,160,2297.93438626
p_914339,39.628974,-106.502052,161,2301.89686512
p_914339,39.62895,-106.502015,162,2306.04309801
p_914339,39.628923,-106.50197,163,2310.93315424
p_914339,39.628897,-106.501929,164,2315.48548478
p_914339,39.628845,-106.50185,165,2324.3924893
p_914339,39.628803,-106.501804,166,2330.5033005
p_914339,39.628766,-106.501777,167,2335.22021277
p_914339,39.628574,-106.501674,168,2358.29889459
p_914339,39.628402,-106.501583,169,2378.93199404
p_914339,39.628357,-106.501569,170,2384.07077987
p_914339,39.628286,-106.501539,171,2392.36384429
p_914339,39.62824,-106.501531,172,2397.51708648
p_914339,39.628152,-106.501514,173,2407.39592004
p_914339,39.628096,-106.501525,174,2413.6847758
p_914339,39.628003,-106.501544,175,2424.13839281
p_914339,39.627834,-106.501618,176,2443.94846485
p_914339,39.627693,-106.501707,177,2461.36863877
p_914339,39.627473,-106.50186,178,2489.10282726
p_914339,39.627441,-106.501762,179,2498.23609829
p_914339,39.627357,-106.501801,180,2508.14527335
p_914339,39.627132,-106.501907,181,2534.73255585
p_914339,39.626995,-106.501976,182,2551.05623071
p_914339,39.626881,-106.50206,183,2565.62384726
p_914339,39.626804,-106.50219,184,2579.68315222
p_914339,39.62674,-106.502365,185,2596.30366441
p_914339,39.62685,-106.502419,186,2609.36708408
p_914339,39.626938,-106.502464,187,2619.87365933
p_914339,39.627022,-106.50248,188,2629.30059346
p_914339,39.627285,-106.502518,189,2658.68251685
p_914339,39.627361,-106.502556,190,2667.72936675
p_914339,39.62743,-106.502609,191,2676.63976896
p_914339,39.627472,-106.502701,192,2685.81230714
p_914339,39.627541,-106.502884,193,2703.29216635
p_914339,39.627613,-106.503021,194,2717.51379098
p_914339,39.627655,-106.503059,195,2723.20493059
p_914339,39.627678,-106.503105,196,2727.90796714
p_914339,39.627697,-106.503166,197,2733.55406329
p_914339,39.627689,-106.503265,198,2742.10007239
p_914339,39.627663,-106.503326,199,2748.08016003
p_914339,39.627583,-106.503487,200,2764.51071876
p_914339,39.62756,-106.503685,201,2781.70093097
